client_rank,round,data_size,data_variance,local_loss,local_accuracy
1,1,6947,0.06378714740276337,2.976815700531006,15.920540690422058
5,1,5993,0.06273552030324936,3.003106117248535,17.170031368732452
2,1,14955,0.0634714663028717,1.6336274147033691,40.82915484905243
3,1,367,0.06417996436357498,2.409653902053833,10.081744194030762
4,1,21738,0.06313455104827881,1.344700813293457,51.11785531044006
3,2,367,0.06417996436357498,2.702120542526245,10.89918240904808
1,2,6947,0.06378714740276337,1.9227464199066162,34.02907848358154
5,2,5993,0.06273552030324936,1.9242377281188965,31.58685266971588
2,2,14955,0.0634714663028717,1.5547677278518677,46.004679799079895
4,2,21738,0.06313455104827881,1.2249062061309814,56.53234124183655
3,3,367,0.06417996436357498,2.22904372215271,16.89373254776001
1,3,6947,0.06378714740276337,1.3297268152236938,51.60501003265381
5,3,5993,0.06273552030324936,1.4720968008041382,47.822460532188416
2,3,14955,0.0634714663028717,1.2751413583755493,54.93814945220947
4,3,21738,0.06313455104827881,1.0800732374191284,61.449992656707764
3,4,367,0.06417996436357498,1.2563071250915527,54.22343611717224
1,4,6947,0.06378714740276337,1.180940866470337,57.895493507385254
5,4,5993,0.06273552030324936,1.2557969093322754,56.04872107505798
2,4,14955,0.0634714663028717,1.0351221561431885,63.37679624557495
4,4,21738,0.06313455104827881,1.038108468055725,63.262492418289185
3,5,367,0.06417996436357498,0.9536356329917908,67.30245351791382
1,5,6947,0.06378714740276337,0.9779309034347534,64.17158246040344
5,5,5993,0.06273552030324936,0.9988246560096741,64.55864906311035
2,5,14955,0.0634714663028717,0.8915749788284302,68.12437176704407
4,5,21738,0.06313455104827881,0.9768348932266235,65.83402156829834
3,6,367,0.06417996436357498,0.8894255757331848,66.21253490447998
1,6,6947,0.06378714740276337,0.964231014251709,65.98531603813171
5,6,5993,0.06273552030324936,0.8516177535057068,70.36542892456055
2,6,14955,0.0634714663028717,1.0342254638671875,63.99866342544556
4,6,21738,0.06313455104827881,1.0959404706954956,60.82436442375183
3,7,367,0.06417996436357498,0.6713390946388245,79.29155230522156
1,7,6947,0.06378714740276337,0.784166693687439,72.75083065032959
5,7,5993,0.06273552030324936,0.7848140597343445,72.95177578926086
2,7,14955,0.0634714663028717,0.8239192366600037,71.02641463279724
4,7,21738,0.06313455104827881,0.8220685124397278,71.10129594802856
3,8,367,0.06417996436357498,0.5543498992919922,82.56130814552307
1,8,6947,0.06378714740276337,0.7630576491355896,73.47056269645691
5,8,5993,0.06273552030324936,0.7935112714767456,72.78491854667664
2,8,14955,0.0634714663028717,0.7540138363838196,73.38683009147644
